starttime,endtime,cameraid,DeviceTemperature,AcquisitionFrameRate,ExposureTime,PixelFormat
1699711546682,1699711597526,1,33.2,12.9705,5012.93,-2.0263e+113
1699711719053,1699711769881,1,39,12.9705,9987,-1.52912e+99
1699711891375,1699711942282,1,40.7,12.9705,14999.9,-1.12525e-206
1699712063793,1699712114768,1,41.7,12.9705,20012.8,-3.33378e-11
1699712236259,1699712287199,1,42.7,12.9705,24986.9,-1.24571e+108
1699712408934,1699712459930,1,43.5,12.9705,29999.8,-1.43475e+10
1699712581495,1699712632681,1,44,12.9705,35012.8,1.21484e+130
1699712754235,1699712805339,1,44.5,12.9705,39986.8,1.9866e-22
1699712926853,1699712977882,1,45,12.9705,44999.8,8.80688e+150
1699713099410,1699713150027,1,45.2,12.9705,50012.7,8.2064e+175
1699713271762,1699713322613,1,45.5,12.9705,54986.8,-2.17504e+39
1699713444243,1699713495044,1,45.7,12.9705,59999.7,-1.26091e+123
1699713616571,1699713667134,1,46.2,12.9705,65012.6,-1.90578e+112
1699713788814,1699713839380,1,46.5,12.9705,69986.7,-2.54591e+39
1699713960877,1699714012147,1,46.5,12.9705,74999.6,-9.81658e+296
1699714133646,1699714170803,1,46.2,12.4738,80012.5,4.96429e-200
1699714292577,1699714329959,1,46.5,11.745,84986.6,1.635e-186
1699714451516,1699714489154,1,46.5,11.092,89999.5,5.41196e-248
1699714610702,1699714649952,1,46.7,10.5077,95012.5,7.84992e-85
1699714771656,1699714809796,1,46.7,9.9858,99986.5,-2.347e+167
1699714931274,1699714970029,1,46.7,9.50976,104999,5.17712e+32
1699715091838,1699715131583,1,46.7,9.07704,110012,-7.50074e-167
1699715253156,1699715293330,1,46.7,8.68492,114986,1.9136e-256
1699715414790,1699715455706,1,46.7,8.32258,119999,3.78393e-190
1699715577215,1699715618699,1,47,7.98926,125012,-6.11092e-167
1699715740189,1699715781970,1,46.7,7.68391,129986,1.5993e+29
1699715903705,1699715945947,1,46.7,7.39891,134999,-5.83806e-293
1699716067734,1699716110665,1,46.7,7.1343,140012,-1.09243e-167
1699716232201,1699716275571,1,47,6.88981,144986,1.94792e+281
1699716397082,1699716440736,1,47,6.65979,149999,1.57144e-225
1699716562334,1699716606677,1,47,6.44463,155012,7.0689e-276
1699716728171,1699716773443,1,47,6.24446,159986,5.74467e+192
